Timestamp,Current (µA),Voltage (µV),Capacity (%),Charge (µAh),Temperature (°C),Charging
2024-12-04 08:59:00,1894000,17553000,93,4927000,27.8,1
2024-12-04 08:59:02,1891000,17554000,93,4928000,27.8,1
2024-12-04 08:59:05,1887000,17554000,94,4929000,27.8,1
2024-12-04 08:59:07,1885000,17554000,94,4930000,27.8,1
2024-12-04 08:59:09,1881000,17554000,94,4931000,27.8,1
2024-12-04 08:59:11,1877000,17554000,94,4933000,27.8,1
2024-12-04 08:59:13,1871000,17554000,94,4934000,27.8,1
2024-12-04 08:59:15,1867000,17555000,94,4935000,27.8,1
2024-12-04 08:59:17,1867000,17556000,94,4936000,27.8,1
2024-12-04 08:59:19,1857000,17556000,94,4937000,27.8,1
